1297447,3011091,263,1824,5,
1293172,1297447,523,263,5,
1291560,1301753,887,333,13,
1308767,3008247,100,566,4,
1295644,1296909,2528,57,6,
1291858,1369747,816,195,1,
1292000,1307914,1771,404,16,
1291557,1292056,776,393,2,
1292217,1756073,956,482,5,
1292214,3443389,239,517,4,
1291824,3007773,226,728,2,
1291548,1303037,1849,417,17,
1292281,4798888,232,455,1,
1293359,1294408,859,175,3,
1787291,21937452,2880,683,11,
1291571,1291818,203,742,7,
1760622,6985810,1838,699,5,
1293399,1296141,344,93,4,
1297359,1298624,394,1231,9,
1305487,1309163,364,1518,3,
1294639,1307315,678,51,1,
1858711,3443389,879,517,12,
3287562,6786002,449,1373,19,
2131459,3793023,1895,2965,28,
1298653,2353023,392,823,4,
1292001,1305487,3496,364,16,
1291990,1292528,1373,855,15,
1293359,4023638,859,1027,8,
1293544,3793023,440,2965,15,
1292659,1308575,55,2105,1,
1292722,4798888,1012,455,3,
1292215,1307315,1592,51,2,
1907966,3217169,775,459,10,
1291858,1292262,816,645,7,
1291572,1395091,90,228,2,
1293908,1652587,72,3925,5,
4268598,6146955,2021,337,6,
1292328,1298070,1290,177,6,
1291585,1418019,257,56,1,
1295409,6534248,139,615,2,
1291824,1291832,226,756,3,
1302467,3541415,166,4449,13,
1291818,1309046,742,1279,18,
1301171,2149806,141,2976,11,
4202302,5964718,847,826,15,
1292223,5964718,1077,826,10,
1308575,1867345,2105,600,7,
1292528,1295644,855,2528,33,
1306029,2043546,1131,2168,14,
1308857,2149806,388,2976,14,
1291828,1316572,1564,177,5,
1292224,2297265,1285,984,21,
1298624,1309046,1231,1279,8,
1292528,3007773,855,728,13,
11525673,1293764,454,191,1,
1297447,1300992,263,313,1,
1292215,3319755,1592,2634,7,
1292213,4286017,1670,532,4,
1291568,1292262,306,645,4,
1291875,1297192,874,637,9,
1293359,1306029,859,1131,12,
1401118,3217169,154,459,3,
21360417,3319755,445,2634,10,
1291579,1292274,346,705,3,
1291552,1292218,301,388,5,
1294638,5989818,38,561,1,
1304073,4917726,1019,1288,5,
1292343,2300586,1771,1298,31,
1305164,2363506,1152,525,5,
1296736,21937452,630,683,1,
1291858,1302425,816,497,5,
1291990,1292659,1373,55,3,
11525673,1303394,454,739,4,
1294638,1295865,38,911,2,
10777687,1291560,446,887,6,
1304102,3217169,58,459,2,
1302467,1865703,166,274,4,
1291552,1292215,301,1592,8,
1301753,1756073,333,482,2,
1291571,5322596,203,1053,5,
11525673,1401118,454,154,2,
1291585,1292214,257,239,4,
1291824,1929463,226,2127,4,
1292402,1300299,1755,699,15,
1292062,1397546,851,146,4,
1292217,6146955,956,337,5,
1298653,1299131,392,150,3,
1292659,1395091,55,228,1,
1294408,1388216,175,801,2,
1300117,1401118,312,154,2,
1929463,3073124,2127,614,13,
1292925,1303021,265,638,1,
1292720,4202302,1883,847,9,
1652587,3011091,3925,1824,41,
1291549,4739952,1426,3255,12,
1291548,1844413,1849,931,6,
1294638,1305725,38,350,3,
1388216,3073124,801,614,12,
1316510,1858711,202,879,6,
1292274,1907966,705,775,14,
1291879,1307315,722,51,1,
1291832,1780330,756,1046,10,
1760622,2129039,1838,2026,28,
1291545,1292217,1088,956,23,
1297478,3157605,127,183,4,
1395091,3072124,228,1978,5,
1307315,2297265,51,984,2,
1293350,5908478,425,409,2,
1294371,1294638,96,38,1,
1291858,1305690,816,582,10,
1292233,1369747,611,195,1,
1298624,6786002,1231,1373,19,
1293929,1305487,666,364,6,
1292224,1299398,1285,301,4,
1316510,3072124,202,1978,10,
1305725,21937452,350,683,2,
1308777,3541415,941,4449,35,
1292064,3008247,1985,566,10,
1291832,1306861,756,374,8,
1292925,1302827,265,749,2,
1316510,1978709,202,1767,6,
1292218,4268598,388,2021,11,
1291583,1291818,702,742,15,
1292348,1307811,130,297,5,
1298070,1301617,177,335,6,
1292262,2365260,645,1688,2,
1292329,1292659,556,55,1,
1291875,4268598,874,2021,15,
1301171,2209573,141,2316,13,
1291828,1849031,1564,735,3,
1292659,1780330,55,1046,4,
1297052,1418019,755,56,1,
1395091,3824274,228,536,1,
1292659,1297630,55,501,6,
1291858,5908478,816,409,2,
10577869,1787291,643,2880,10,
1291571,1298653,203,392,5,
1292434,3075287,1708,2049,18,
1299327,1305487,495,364,8,
1296753,3075287,319,2049,7,
1306029,1307793,1131,523,8,
1291832,1299398,756,301,9,
1308857,3443389,388,517,4,
1292656,1294371,1128,96,3,
1844413,1962116,931,390,2,
1907966,6985810,775,699,9,
1292001,1652587,3496,3925,72,
1291552,1301169,301,292,1,
1418834,21360417,1520,445,6,
1291572,1292281,90,232,2,
10777687,1295124,446,842,5,
1300960,3319755,892,2634,14,
1292208,1305164,416,1152,10,
10577869,1291870,643,438,5,
1292365,1388216,945,801,13,
1292055,1308575,353,2105,9,
1905462,3075287,1670,2049,17,
1298653,1301753,392,333,4,
1292328,1297052,1290,755,3,
1291583,1299131,702,150,4,
1292052,21937445,3457,615,9,
1291549,3075287,1426,2049,18,
1291828,1301617,1564,335,10,
1292218,1294240,388,161,3,
1291578,1291875,120,874,4,
1295644,1756073,2528,482,2,
1292214,1316510,239,202,9,
1291557,3742360,776,4029,17,
1291565,1292679,202,1287,5,
2213597,4286017,2443,532,6,
1294639,1305690,678,582,3,
1291579,1294408,346,175,4,
1291828,1760622,1564,1838,31,
1294408,1756073,175,482,1,
1296339,1308857,1239,388,9,
1295399,2353023,302,823,6,
1291548,1297478,1849,127,4,
1291843,1292055,376,353,4,
1302425,1418200,497,906,3,
1291828,2353023,1564,823,14,
3793023,6985810,2965,699,13,
1292365,4798888,945,455,7,
1292328,1309046,1290,1279,15,
10577869,21937452,643,683,3,
1302425,1302476,497,245,3,
1292287,3287562,203,449,4,
1388216,2043546,801,2168,3,
1291545,1294408,1088,175,5,
1297192,5989818,637,561,1,
1292365,1294639,945,678,11,
1291548,1297630,1849,501,19,
1296141,1300992,93,313,2,
1292262,1851857,645,1185,15,
1292679,3442220,1287,1403,11,
1291828,1395091,1564,228,5,
1291875,1293359,874,859,11,
1297359,1578507,394,302,5,
1291568,1294408,306,175,2,
1292679,1300741,1287,213,2,
10777687,1308857,446,388,4,
1292328,3793023,1290,2965,22,
1292402,1438652,1755,695,15,
1292214,1295124,239,842,11,
1296339,1780330,1239,1046,16,
1292720,1293172,1883,523,10,
1292728,1929463,177,2127,5,
1291990,3073124,1373,614,10,
1388216,2334904,801,1353,21,
1297574,5322596,161,1053,2,
1291568,1292056,306,393,2,
1292220,3541415,2505,4449,28,
1292849,3075287,343,2049,10,
1294408,3217169,175,459,2,
1292214,1292329,239,556,4,
1291990,5964718,1373,826,28,
1291579,1292348,346,130,4,
1293839,2131459,582,1895,16,
1291561,1300267,1617,713,11,
1291875,5908478,874,409,1,
1292217,1295124,956,842,13,
1293839,1305164,582,1152,19,
1292728,3742360,177,4029,9,
1292720,2297265,1883,984,12,
1292215,1302425,1592,497,10,
1292001,1397546,3496,146,4,
11525673,1295865,454,911,9,
1301171,6786002,141,1373,9,
1297574,1303037,161,417,5,
1291822,1292217,456,956,16,
1291879,1299361,722,369,2,
1291565,3824274,202,536,1,
1304102,21360417,58,445,2,
1291853,1292062,682,851,19,
1292001,1303021,3496,638,23,
1293929,3319755,666,2634,4,
1291552,1959195,301,159,1,
1292343,1900841,1771,1274,30,
1291824,1291853,226,682,1,
1292434,1929463,1708,2127,26,
1292055,3395373,353,1665,3,
1308817,2209573,56,2316,1,
1292679,21360417,1287,445,7,
1292224,2353023,1285,823,9,
1292233,1300267,611,713,9,
1291992,1292001,460,3496,15,
1291565,1291844,202,121,2,
1294408,2209573,175,2316,6,
1293359,1298624,859,1231,12,
1291822,2353023,456,823,8,
1294240,2129039,161,2026,4,
1296339,1316510,1239,202,7,
1292270,2053515,530,2020,6,
1293172,3792799,523,2190,9,
1296339,2300586,1239,1298,17,
1292528,1293764,855,191,6,
1297574,1485260,161,2575,5,
1294371,5908478,96,409,1,
3072124,6534248,1978,615,8,
1305487,1306249,364,81,4,
1295399,1485260,302,2575,12,
1937946,6146955,843,337,6,
1291818,3008247,742,566,6,
1291549,1293182,1426,828,17,
1900841,3007773,1274,728,20,
1292722,2209573,1012,2316,27,
1291853,1291992,682,460,12,
1291999,1294638,1237,38,3,
1291853,4202302,682,847,8,
1291552,1291565,301,202,1,
1291828,1292343,1564,1771,33,
1293350,1296753,425,319,10,
1302467,3442220,166,1403,3,
1978709,2334904,1767,1353,43,
1292656,1485260,1128,2575,18,
1292328,2131459,1290,1895,48,
1849031,6786002,735,1373,2,
1293530,1418834,187,1520,6,
1295409,1388216,139,801,3,
1304102,1419936,58,429,5,
1292055,4268598,353,2021,7,
1291560,1419936,887,429,9,
1291818,1292370,742,1351,17,
1291546,1760622,2936,1838,27,
