247 28971
1291579	1301753	0.668627451
1291583	1301753	0.799303944
1291579	1291583	0.806378132
1291579	1308807	0.822717622
1291583	2353023	0.87204142
1308807	2353023	0.881523272
1301753	2043546	0.927069927
1308767	1578507	0.928
1291583	2043546	0.931098696
1308807	2043546	0.933406114
2043546	2353023	0.938232162
1294240	1299131	0.942176871
1291552	1291571	0.945606695
1291552	1291572	0.957333333
1291841	1299131	0.964426877
1293350	1301171	0.963369963
1293908	1296909	0.959677419
1304102	1578507	0.971428571
1293908	1294371	0.962962963
1291843	1302467	0.965648855
1291585	1297359	0.965023847
1295038	1298070	0.965034965
1291585	1307811	0.964485981
1291583	1291585	0.968817204
1291560	1291585	0.971223022
1293460	1293908	0.966850829
1291841	1294240	0.972938144
1293181	1293908	0.969298246
1291818	1303037	0.96886121
1292214	1292348	0.969273743
1304102	1305487	0.978208232
1293460	1296909	0.97005988
1291572	1302467	0.97188755
1293908	1401118	0.972727273
1291560	1297359	0.973557692
1291844	1292849	0.975717439
1438652	2334904	0.973947896
1294371	1296141	0.972826087
1293460	1401118	0.973282443
1304102	1308767	0.974025974
1305487	1308767	0.977973568
1291844	1578507	0.975786925
1292214	1308767	0.975830816
1292348	1301171	0.973484848
1292208	1401118	0.976660682
1291583	1297359	0.97474275
2334904	3541415	0.977981328
1301171	1308767	0.974468085
1291844	1297574	0.974545455
1294408	1296909	0.977973568
1291844	1295038	0.974358974
1294371	1401118	0.975409836
1292214	1293544	0.97586727
2131459	2209573	0.974926972
1295038	1418019	0.976608187
1304447	1308767	0.985380117
1301171	1419936	0.978494624
1301171	1305487	0.977732794
1301171	1578507	0.976905312
1292348	1295038	0.975308642
3541415	3742360	0.975344453
1485260	2209573	0.97549225
1485260	2213597	0.975500204
1291844	1292348	0.975510204
1291844	1298070	0.975945017
1291844	1304102	0.977142857
1293182	1401118	0.98238342
1291578	1292214	0.977207977
1291879	1295399	0.978043912
1292214	1293350	0.976887519
1291571	1291843	0.977031802
1292528	1293350	0.977635783
1295399	1401118	0.977578475
1578507	1780330	0.980332829
